Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/batch/19cea9fc-d309-4d54-92dc-b1e015d38666,13,0,5,13.305069231696857,2.2723000001860783,56.33490000036545,3153.3076923076924,0.01873540425604031,0.0,5,10,18,20,38,56,56,56,56,56,56
GET,/batch/1a5e3d32-9b6a-4d57-bfcb-c1a9ecc65db3,11,0,4,36.970090908818584,2.4582000041846186,343.106499996793,2223.7272727272725,0.015853034370495647,0.0,4,5,5,5,29,340,340,340,340,340,340
GET,/batch/1a61f182-c8f9-46b2-82f8-07988d8ca863,5,0,5,5.364479999116156,2.9930999953649007,10.3746000022511,3126.0,0.007205924713861658,0.0,5,5,5,10,10,10,10,10,10,10,10
GET,/batch/1b7f9b04-35bd-43ff-9721-fdcef493a6d9,9,0,4,12.490477778353831,2.8396999987307936,72.95329999760725,3259.4444444444443,0.012970664484950984,0.0,4,4,6,13,73,73,73,73,73,73,73
GET,/batch/1be01c8a-a981-46dc-bf08-aaf6e23ab597,4,0,4,42.510449995461386,2.794099993479904,148.99919999879785,3345.5,0.0057647397710893266,0.0,14,14,150,150,150,150,150,150,150,150,150
GET,/batch/1d359490-39c3-47f3-815e-673d6655bc97,13,0,4,21.13705384656966,2.9254999972181395,134.24790000135545,2971.076923076923,0.01873540425604031,0.0,4,8,10,26,65,130,130,130,130,130,130
GET,/batch/1d54db27-ee3d-4f1e-8093-ae53b463f9a0,8,0,4,31.56712500276626,3.072000006795861,212.16170000116108,2565.75,0.011529479542178653,0.0,5,7,14,14,210,210,210,210,210,210,210
GET,/batch/1ddda3ac-ecc4-4adf-bda1-e09bc31105b8,7,0,9,60.71099999930344,5.309100000886247,322.6566999946954,3224.5714285714284,0.01008829459940632,0.0,9,18,53,53,320,320,320,320,320,320,320
GET,/batch/1e0f0f9b-a031-418b-98a7-213f99a862f2,12,0,4,36.141699999764874,2.638500001921784,357.1250999957556,3392.5833333333335,0.01729421931326798,0.0,6,10,13,13,16,360,360,360,360,360,360
GET,/batch/1f3abf9f-d8ba-4005-a79f-3150de127a5c,8,0,5,5.81186250110477,3.100299996731337,9.762600006069988,3793.875,0.011529479542178653,0.0,6,8,9,9,10,10,10,10,10,10,10
GET,/batch/20e9681c-84d4-4cd4-a4bb-365021d6a17a,14,0,6,31.300621427882497,2.9320999965420924,311.93160000111675,3286.285714285714,0.02017658919881264,0.0,7,7,17,18,42,310,310,310,310,310,310
GET,/batch/21c4398b-fa69-4aa8-baa4-0138c3d548a8,11,0,4,71.07122727227926,3.0090000000200234,636.6285999974934,3892.909090909091,0.015853034370495647,0.0,4,6,17,17,97,640,640,640,640,640,640
GET,/batch/22065abc-dbb2-4fe9-825c-0c81aeb791f9,7,0,6,24.62062857271771,3.485900000669062,104.82430000411114,4111.142857142857,0.01008829459940632,0.0,6,24,26,26,100,100,100,100,100,100,100
GET,/batch/228e4b89-f6ce-4bb2-b30f-f3dd367eb854,8,0,4,13.619037499665865,2.89100000372855,70.880399995076,3694.625,0.011529479542178653,0.0,4,5,14,14,71,71,71,71,71,71,71
GET,/batch/230e90ac-4aac-46e4-ab5f-73b1c27231f1,6,0,5,9.844199999254974,2.9214999958639964,37.75370000221301,4615.166666666667,0.00864710965663399,0.0,5,5,6,6,38,38,38,38,38,38,38
GET,/batch/23f518ba-89d4-43e6-a023-11c089bb1292,9,0,8,32.10377777981598,2.9367000024649315,166.24249999586027,2985.3333333333335,0.012970664484950984,0.0,8,15,32,51,170,170,170,170,170,170,170
GET,/batch/23f98fa8-bcd2-4ba8-a37b-a76c88de4a7b,13,0,5,22.73570769354522,3.0005000007804483,130.58759999694303,1973.923076923077,0.01873540425604031,0.0,5,8,8,25,91,130,130,130,130,130,130
GET,/batch/24719f03-02bf-48ee-92c7-2c3d28508f79,7,0,9,33.85851428590416,3.0120000010356307,173.19059999863384,5352.428571428572,0.01008829459940632,0.0,9,17,23,23,170,170,170,170,170,170,170
GET,/batch/24a534fa-bd30-4f8c-94db-ac8bb9874c5f,6,0,5,24.51048333387007,3.0157000001054257,90.25049999763723,3000.3333333333335,0.00864710965663399,0.0,12,12,34,34,90,90,90,90,90,90,90
GET,/batch/250a2e21-0eca-4bf9-a50b-3e4b1013a27a,4,0,3,73.18272500015155,2.962300000945106,279.0342000007513,3017.0,0.0057647397710893266,0.0,7,7,280,280,280,280,280,280,280,280,280
GET,/batch/25ee216b-b527-4f79-b284-7a924c851585,12,0,7,27.217441665925435,3.131600002234336,97.64300000097137,2204.5833333333335,0.01729421931326798,0.0,9,10,65,65,90,98,98,98,98,98,98
GET,/batch/25ff7c4e-597d-4005-903c-679dabdcd3e1,10,0,8,53.67266999965068,2.591600001323968,408.4530999971321,3778.6,0.014411849427723316,0.0,9,10,27,59,410,410,410,410,410,410,410
GET,/batch/263c3b93-d0f8-4033-aa21-38a19cbb3fd0,11,0,12,16.259109090077057,2.4832999988575466,42.7579999959562,1926.3636363636363,0.015853034370495647,0.0,12,25,26,26,37,43,43,43,43,43,43
GET,/batch/269dfd9b-6ab1-4c20-84f9-80c71f63d024,12,0,9,29.651741665171965,3.4113000001525506,161.80119999626186,3565.6666666666665,0.01729421931326798,0.0,20,21,27,27,66,160,160,160,160,160,160
GET,/batch/26adac94-353c-4d6b-859e-62e3ad6e7f23,10,0,4,6.4329800006817095,2.638400001160335,15.490199999476317,3257.0,0.014411849427723316,0.0,5,5,9,14,15,15,15,15,15,15,15
GET,/batch/27f58986-d4df-43ca-a0ee-75c671f2ee3f,4,0,4,3.7851749984838534,3.016499998921063,4.2426999934832565,3552.5,0.0057647397710893266,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/batch/28d72081-ec3e-47dc-a559-fa7879e57223,11,0,5,16.97084545528262,3.1424999979208224,102.47879999951692,2187.6363636363635,0.015853034370495647,0.0,5,12,16,16,28,100,100,100,100,100,100
